temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
16.1,29,1017.0,0.0,0.0,0.0,0,0,0,408.51,23.4,180.0,27.0,180.0,23.4,180.0,25.2,59.381072,53.695943,99.261101
22.45,26,1012.6,0.0,0.0,0.0,0,0,0,628.34,24.96,213.23,28.06,213.49,25.26,212.78,34.2,66.460096,59.360039,266.25011
22.17,37,1009.8,0.0,0.0,85.0,0,71,85,473.48,19.09,225.76,21.38,225.0,19.35,223.49,26.28,42.40698,32.943673,247.39927
31.43,26,1012.1,0.0,0.0,0.0,0,0,0,477.93,23.42,225.0,26.47,225.0,24.18,224.4,41.76,78.378996,68.509358,274.98398
34.12,14,1015.2,0.0,0.0,0.0,0,0,0,705.77,16.81,223.26,18.09,222.58,16.81,223.26,17.28,66.471835,54.2961,271.25393
15.94,39,1026.9,0.0,0.0,4.0,1,4,0,788.54,17.37,354.05,18.13,353.16,16.26,354.92,19.44,8.9316005,37.526581,182.82832
13.79,37,1025.7,0.0,0.0,0.0,0,0,0,923.82,24.86,34.38,26.37,34.99,24.57,34.85,27.0,25.147858,21.059551,189.85365
19.81,35,1016.0,0.0,0.0,8.0,6,8,0,61.41,10.81,181.91,15.88,176.1,11.52,180.0,12.96,90.209033,75.231061,74.418798
14.9,51,1023.7,0.0,0.0,30.0,100,0,0,614.1,18.44,321.34,19.68,320.19,17.94,321.52,20.16,15.148517,50.2779,199.23724
28.78,31,1012.2,0.0,0.0,10.0,0,10,10,828.59,19.45,231.01,20.52,232.13,19.45,231.01,18.72,20.126997,25.711186,183.60457
15.39,34,1018.5,0.0,0.0,100.0,100,100,0,0.0,2.52,270.0,14.62,308.0,4.55,251.57,19.08,101.73772,85.794994,68.782237
23.5,20,1015.8,0.8,0.0,100.0,0,100,2,246.53,3.6,270.0,3.26,263.66,3.42,251.57,11.52,50.105847,61.872356,240.34265
16.97,40,1023.2,0.0,0.0,0.0,0,0,0,886.44,25.84,18.69,27.44,19.15,25.5,18.95,29.88,40.689813,36.267024,242.89075
23.53,39,1017.9,0.0,0.0,0.0,0,0,0,232.29,21.24,180.0,27.74,177.77,22.68,180.0,15.84,76.393311,63.786098,83.070172
23.99,35,1021.0,0.0,0.0,0.0,0,0,0,656.82,7.9,59.93,8.37,64.54,8.37,64.54,7.92,66.628239,59.068458,266.78185
15.37,77,1009.3,1.3,0.0,69.0,100,19,69,233.18,28.01,136.04,34.11,135.86,28.26,135.52,41.4,36.722713,60.662904,222.3771
8.51,73,1014.4,0.0,0.0,7.0,0,0,7,256.32,18.89,300.96,21.3,300.47,18.4,300.58,23.4,56.056729,63.05043,112.23389
19.43,31,1012.9,0.0,0.0,7.8,26,0,0,499.29,4.02,153.43,4.68,157.38,4.68,157.38,9.36,51.340597,68.612884,236.11033
13.65,60,1015.9,0.2,0.0,35.0,0,0,35,148.63,13.85,261.03,17.94,259.59,15.04,258.96,21.6,52.257428,73.705393,232.42253
23.76,16,1017.7,0.0,0.0,10.0,32,10,0,668.39,16.33,165.96,17.38,166.83,16.24,167.2,18.36,10.716479,42.647637,165.20365
15.17,47,1021.8,0.0,0.0,100.0,0,0,100,470.81,15.46,62.24,15.94,64.59,14.81,64.06,16.92,49.210486,53.158572,245.98215
0.03,86,1014.9,0.3,0.0,100.0,0,100,100,0.0,31.0,282.75,37.11,284.04,31.44,283.24,36.0,60.438692,80.234163,122.4131
11.04,39,1016.6,0.0,0.0,80.0,100,80,2,345.32,32.68,153.15,38.96,153.67,32.52,153.72,31.32,44.232816,48.374674,117.99581
15.26,67,1010.2,0.1,0.0,100.0,0,100,100,156.64,10.97,138.99,11.75,139.97,10.74,140.44,11.52,51.087814,67.32622,236.94411
17.62,32,1026.1,0.0,0.0,30.0,100,0,0,776.97,16.66,353.8,17.37,354.05,16.26,354.92,19.44,32.56077,46.985523,225.64411
9.01,64,1013.5,0.0,0.0,100.0,0,100,100,304.38,17.58,79.38,19.35,80.36,17.52,80.54,22.68,31.18658,49.986316,222.14966
18.19,46,1011.2,0.0,0.0,21.0,0,21,0,595.41,24.1,193.83,26.46,194.98,24.1,193.83,21.96,9.1766063,48.123593,168.22621
18.23,34,1029.3,0.0,0.0,100.0,100,100,0,431.65,16.2,323.13,17.43,321.71,16.2,323.13,23.04,17.053462,60.761788,187.05856
11.82,58,1020.7,0.0,0.0,0.0,0,0,0,91.67,5.48,203.2,4.35,204.44,4.68,202.62,3.6,89.323944,73.039696,73.314698
6.43,73,1030.3,0.0,0.0,0.0,0,0,0,241.19,15.18,22.31,17.07,24.94,14.58,20.22,29.88,73.726377,63.578694,86.938127
14.56,76,1010.5,0.0,0.0,63.0,0,0,63,297.26,17.58,157.11,19.86,157.62,17.58,157.11,15.84,36.806685,60.996127,222.20847
10.76,43,1027.4,0.0,0.0,63.0,73,63,4,369.35,5.0,149.74,5.19,146.31,5.0,149.74,8.28,22.537702,65.122873,167.98083
30.55,19,1015.6,0.0,0.0,100.0,100,100,3,368.46,12.56,207.3,13.68,206.57,12.24,208.07,26.64,52.162625,43.699364,257.72809
9.62,69,1030.8,0.0,0.0,9.3,31,0,0,378.25,21.57,165.5,24.19,165.34,21.13,166.2,22.32,21.451988,64.468864,169.48456
16.19,29,1013.5,0.0,0.0,0.0,0,0,0,372.02,12.02,351.38,12.02,351.38,11.21,354.47,14.76,63.250884,76.285973,245.71437
5.73,70,1015.9,0.0,0.0,12.0,0,0,12,522.43,30.19,171.77,35.23,172.37,30.14,172.45,34.92,14.480216,44.125262,159.50224
16.89,41,1018.7,0.0,0.0,0.0,0,0,0,867.75,25.57,32.35,27.56,33.27,25.26,32.78,30.6,28.027984,22.030553,151.10597
15.12,48,1020.2,0.0,0.0,0.0,0,0,0,318.62,2.62,195.95,2.97,194.04,2.9,187.13,4.68,59.29627,58.570159,103.68107
16.77,33,1029.3,0.0,0.0,100.0,100,100,0,398.72,15.94,161.57,18.1,162.65,16.62,162.35,12.96,26.585417,66.4714,199.0623
9.59,31,1027.2,0.0,0.0,0.0,0,0,0,265.22,2.74,246.8,1.8,270.0,3.24,270.0,7.92,58.624113,62.879696,108.4279
9.87,32,1015.5,0.0,0.0,0.0,0,0,0,737.81,14.49,165.62,15.54,166.61,14.49,165.62,15.12,45.768773,59.412694,236.23563
17.12,55,1020.9,0.0,0.0,0.0,0,0,0,0.0,6.41,218.16,4.1,307.87,7.64,225.0,3.6,103.3745,83.902213,64.169225
7.1,67,1019.3,0.0,0.0,0.0,0,0,0,186.9,13.24,315.0,14.51,313.99,12.98,313.88,15.84,73.174862,66.62328,90.831599
21.89,44,1012.7,0.3,0.0,100.0,100,100,6,114.81,5.51,258.69,6.84,270.0,2.9,240.26,8.64,54.346868,43.940598,261.17528
19.64,38,1020.1,0.0,0.0,0.0,0,0,0,268.78,23.89,173.95,29.38,172.96,24.25,174.04,23.76,74.924144,61.892379,83.330426
26.77,25,1011.8,0.0,0.0,0.0,0,0,0,522.43,11.11,24.9,10.95,27.41,10.95,27.41,11.52,78.420172,68.168031,275.40019
19.61,36,1017.1,0.0,0.0,75.0,0,0,75,439.66,4.1,254.74,4.1,254.74,4.21,250.02,8.64,65.273321,73.570524,251.19634
20.06,39,1020.6,0.0,0.0,23.0,0,10,23,490.39,5.15,102.09,5.15,102.09,4.8,102.99,6.84,28.566149,42.057988,138.48579
25.35,27,1011.9,0.0,0.0,100.0,100,100,0,611.43,4.32,270.0,4.69,265.6,4.38,260.54,11.88,21.879281,36.630655,210.75353
20.03,36,1014.6,0.0,0.0,10.0,0,10,10,337.31,9.78,353.66,9.39,355.6,8.65,357.61,12.6,35.068615,44.752974,230.34607
3.17,69,1024.9,0.0,0.0,100.0,0,0,100,362.23,24.34,29.22,28.09,30.84,24.2,30.38,35.28,70.311995,85.69914,246.25855
27.71,22,1018.1,0.0,0.0,30.0,100,0,0,759.17,20.77,205.68,22.38,207.8,20.61,207.01,20.88,53.07124,47.53469,256.15492
18.3,36,1020.2,0.0,0.0,0.0,0,0,0,497.51,2.55,225.0,3.32,220.6,2.81,219.81,3.6,45.04256,47.929585,116.4914
29.65,23,1014.9,0.0,0.0,0.0,0,0,0,735.14,21.58,207.85,22.91,210.19,21.12,209.62,29.52,38.851904,29.334409,118.58863
11.25,48,1026.7,0.0,0.0,3.6,12,0,0,361.34,1.8,270.0,2.88,270.0,2.52,270.0,6.48,27.097793,63.511153,155.36564
16.19,54,1022.5,0.0,0.0,0.0,0,0,0,570.49,12.66,345.17,12.5,348.37,11.66,351.12,25.56,59.661611,72.516417,244.25455
25.68,42,1015.5,0.0,0.0,10.0,0,10,0,332.86,18.72,180.0,20.88,180.99,18.72,180.0,22.68,48.294848,43.965685,108.77982
13.78,74,1011.3,0.4,0.0,8.7,29,0,8,459.24,31.73,176.75,37.47,177.8,32.07,177.43,33.48,23.192988,56.969595,205.74385
17.5,40,1029.5,0.0,0.0,0.0,0,0,0,472.59,4.68,90.0,4.32,90.0,4.32,90.0,7.2,38.59961,68.174814,217.77702
6.17,68,1028.1,0.0,0.0,12.0,40,0,0,318.62,31.35,338.44,38.26,340.2,31.99,340.95,44.28,28.410648,65.32702,155.53524
13.38,52,1017.0,0.0,0.0,0.0,0,0,0,607.87,14.69,36.03,15.35,39.29,14.9,37.15,15.48,47.643484,40.200648,107.28846
8.69,83,1010.8,0.0,0.0,100.0,100,100,0,0.0,4.55,71.57,6.88,42.88,5.82,68.2,8.64,102.64564,83.43074,64.742356
23.52,28,1015.7,0.0,0.0,8.0,0,0,8,909.58,10.59,350.22,9.78,353.66,9.39,355.6,11.16,26.799981,19.334384,189.80868
24.68,32,1010.8,0.0,0.0,81.0,0,77,81,380.03,13.24,315.0,14.53,318.01,14.02,318.12,25.92,64.017428,64.51793,257.83685
28.31,19,1019.6,0.0,0.0,30.0,100,26,0,325.74,20.17,272.05,27.0,270.76,21.6,270.95,24.12,90.949316,77.745292,283.95301
1.18,80,1013.9,0.0,0.0,2.0,0,0,2,309.72,41.25,302.16,43.24,302.76,40.45,302.28,45.72,16.671723,60.815986,186.61222
18.12,24,1023.1,0.0,0.0,0.0,0,0,0,507.3,9.01,2.29,8.67,4.76,8.35,7.43,11.16,75.150699,81.341874,257.60962
12.55,87,1012.6,0.0,0.0,100.0,52,12,100,154.86,31.52,166.12,41.3,165.36,32.22,166.43,37.44,53.19427,69.995347,122.54924
8.57,65,1007.7,0.0,0.0,100.0,2,10,100,203.81,22.78,58.57,26.3,59.57,22.78,58.57,22.68,31.58267,49.083984,223.19635
11.88,39,1016.2,0.0,0.0,100.0,100,100,0,403.17,27.06,146.94,31.37,148.13,27.17,147.99,25.92,30.491682,39.233763,134.93937
1.58,63,1011.8,0.0,0.0,49.0,0,0,49,283.91,46.2,13.06,49.33,13.93,46.01,14.04,60.48,15.001054,40.935407,159.10239
13.64,62,1028.8,0.0,0.0,2.0,0,0,2,409.4,9.83,351.57,10.59,350.22,10.14,353.88,15.12,38.7451,70.883527,214.8022
17.94,38,1013.9,0.0,0.0,100.0,0,10,100,219.83,14.98,54.78,16.38,56.66,15.28,55.56,14.76,81.048224,68.238179,279.30025
23.64,36,1016.7,0.0,0.0,10.0,0,10,10,388.04,2.16,90.0,2.52,90.0,2.52,90.0,3.24,42.092394,32.164886,247.1129
3.45,23,1033.6,0.0,0.0,0.0,0,0,0,121.04,11.89,181.74,22.68,179.09,11.52,180.0,18.0,44.709221,62.022882,127.41077
7.98,63,1022.0,0.0,0.0,0.0,0,0,0,262.55,12.96,181.59,14.04,181.47,12.96,180.0,11.16,31.101613,68.152926,154.74688
14.43,30,1036.6,0.0,0.0,2.1,7,0,0,461.02,7.59,354.56,8.28,360.0,8.28,360.0,7.92,35.926593,70.097733,211.09034
9.5,62,1024.1,0.0,0.0,0.0,0,0,0,472.59,30.25,358.64,34.92,359.41,30.6,359.33,45.36,26.52185,64.750467,201.81958
11.63,61,1017.8,0.0,0.0,2.1,7,0,0,0.0,9.29,215.54,7.65,228.81,10.59,215.31,8.28,101.60455,94.802526,78.368574
13.0,84,1015.4,0.0,0.0,19.0,43,19,0,0.0,3.08,159.44,3.6,53.13,2.74,156.8,3.6,86.630305,83.778682,88.554714
15.54,63,1010.9,0.6,0.0,52.0,2,52,52,163.76,6.15,290.56,5.15,282.09,4.55,288.43,12.6,92.145449,75.502976,288.24601
2.28,78,1009.6,0.0,0.0,100.0,0,0,100,311.5,17.38,320.04,17.85,318.27,17.34,318.37,18.72,46.68524,73.878297,223.85783
13.69,48,1019.0,0.0,0.0,10.0,0,0,10,652.37,23.78,177.4,26.29,178.43,23.78,177.4,19.44,29.423067,35.744468,136.30109
21.02,35,1014.2,0.0,0.0,100.0,16,100,10,509.08,19.01,294.62,19.52,292.78,18.06,293.5,27.72,20.614739,48.603493,207.9222
-1.77,70,1022.0,0.0,0.0,75.0,0,75,74,362.23,28.26,34.09,28.56,33.69,28.06,33.49,28.08,11.750513,56.105725,179.33314
10.33,76,1010.7,0.1,0.0,100.0,100,100,6,399.61,32.81,176.86,38.18,178.38,32.45,176.82,33.84,13.004938,55.912273,188.222
3.5,66,1030.4,0.0,0.0,100.0,0,0,100,404.95,52.78,36.4,56.09,36.65,52.99,36.71,50.04,16.331693,54.435686,197.41596
1.93,60,1026.6,0.0,0.0,0.0,0,0,0,556.25,19.49,25.14,20.45,26.11,18.51,26.57,24.12,17.917675,57.34844,196.55202
20.89,55,1018.1,0.0,0.0,100.0,100,100,0,399.61,12.57,23.63,12.88,26.57,12.4,25.82,10.8,50.135715,40.617918,103.32591
2.53,93,1014.6,0.0,0.0,36.0,0,0,36,20.47,15.19,301.43,20.97,304.51,16.79,300.96,20.16,87.570263,78.367527,81.701504
11.69,70,1019.2,0.0,0.0,100.0,0,100,3,265.22,34.34,150.48,43.54,150.26,34.79,151.58,44.64,38.696983,65.374684,139.12262
2.31,60,1019.3,0.0,0.0,0.0,0,0,0,405.84,29.43,345.11,34.4,346.69,29.25,346.48,42.48,16.461426,52.967312,160.90215
1.98,88,1017.0,0.0,0.0,100.0,0,100,100,129.94,30.5,172.54,38.49,172.48,30.45,173.21,34.56,44.188288,58.176435,125.02057
7.41,98,1023.8,0.0,0.0,0.0,0,0,0,0.0,1.02,225.0,2.1,149.04,0.36,270.0,2.16,102.8884,83.476808,64.422579
5.08,70,1024.7,0.0,0.0,0.0,0,0,0,80.99,25.76,172.78,34.57,171.62,26.44,173.75,30.24,73.292647,72.409835,96.318037
32.25,20,1014.7,0.0,0.0,0.0,0,0,0,837.49,5.15,167.91,6.92,171.03,6.57,170.54,11.88,29.956204,21.721236,145.09006
29.68,20,1019.4,0.0,0.0,78.0,100,78,0,661.27,14.88,302.15,14.88,302.15,13.78,303.27,14.04,66.644141,54.336729,271.48846
10.53,67,1006.2,0.0,0.0,63.0,0,63,63,302.6,21.87,290.22,24.7,288.7,21.07,289.98,27.36,25.779749,31.753694,215.68792
